typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;antal;källa
artikel;hyvlat;12;45;C24;T2;2400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;2700;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;3000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;3300;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;3600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;3900;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;4200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;4500;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;4800;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;5100;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;5400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;5700;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;6000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;6600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;7200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;7800;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;8400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;9000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;9600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;12;45;C24;T2;10200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
