typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;antal;källa
artikel;hyvlat;12;45;C24;T2;2370;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;12;45;C24;T2;3130;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;12;45;C24;T2;4470;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;12;45;C24;T2;6110;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;22;145;C16;;2370;200;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;22;145;C16;;3130;200;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;22;145;C16;;4470;200;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;22;145;C16;;6110;200;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;28;70;C24;T2;2370;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;28;70;C24;T2;3130;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;28;70;C24;T2;4470;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;28;70;C24;T2;6110;30;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;34;45;C24;T2;2370;15;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;34;45;C24;T2;3130;15;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;34;45;C24;T2;4470;15;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;34;45;C24;T2;6110;15;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;45;45;C16;;2370;10;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;45;45;C16;;3130;10;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;45;45;C16;;4470;10;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;45;45;C16;;6110;10;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
artikel;hyvlat;45;45;C24;T2;2370;20;Påhittat lager (Bara märkliga mått brädgård), avviker med flit: udda längder och icke-standardmått
