typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;antal;källa
artikel;hyvlat;22;70;C14;T0;3000;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;3300;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;3600;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;3900;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;4500;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;5100;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;70;C14;T0;5400;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;3000;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;3300;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;3900;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;4200;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;4500;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;4800;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;22;95;C14;T0;5400;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;3000;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;3300;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;3900;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;4200;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;4500;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;4800;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;5100;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C14;T0;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;3300;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;3900;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
