typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;källa
tvärsnitt;hyvlat;22;70;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;22;95;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;28;70;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;28;95;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;34;45;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;34;70;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;34;95;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;34;120;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;34;145;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;45;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;70;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;95;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;120;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;145;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;170;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;195;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;220;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;45;245;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;70;70;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;hyvlat;95;95;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;12;48;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
